match_id,date,time_of_day,day_of_week,patch,is_new_patch,map,starting_side,games_played_today,ally_net_winstreak,ally_avg_rank,ally_avg_acs,ally_avg_kd,ally_avg_eco,ally_num_duelists,ally_num_initiators,ally_num_controllers,ally_num_sentinels,ally_has_healer,enemy_avg_rank,enemy_avg_acs,enemy_avg_kd,enemy_avg_eco,enemy_num_duelists,enemy_num_initiators,enemy_num_controllers,enemy_num_sentinels,enemy_has_healer,enemy_smurf_suspected,delta_rank,delta_acs,delta_kd,delta_eco,won,queue_wait_seconds,ally_is_premade,ally_agents,ally_is_comp_standard,ally_avg_rr,ally_rank_spread,tilt_flag,enemy_agents,enemy_is_premade,enemy_premade_size,enemy_avg_rr,enemy_rank_spread,delta_rr,rounds_won,rounds_lost,round_margin
cc5f54f5-0c90-4114-bda6-85804f4450fd,2026-03-18,evening,Wednesday,release-12.05-shipping-22-4360629,,Split,attack,1,2,13.00,228.45,1.11,3849.46,1,1,2,0,no,9.00,218.75,1.01,3413.04,3,0,1,1,yes,,4.00,9.69,0.10,436.41,yes,,yes,Omen|Gekko|Viper|Reyna,,33.00,3,,Phoenix|Jett|Sage|Veto|Phoenix|Omen,no,5,,14,,13,10,3
15a9650a-09f6-461c-a3eb-c673e3f378f3,2026-04-01,evening,Wednesday,release-12.06-shipping-19-4440219,,Lotus,defense,1,3,12.20,225.52,1.13,3795.38,1,1,2,0,no,12.80,200.29,0.90,3550.77,2,1,0,1,no,,-0.60,25.23,0.23,244.62,yes,,yes,Reyna|Miks|Omen|Fade|Harbor,,49.60,9,,Miks|Jett|Gekko|Reyna|Chamber,yes,5,,7,,14,12,2
b95cc447-5da8-44dd-a9b1-ad23e2e60180,2026-04-03,evening,Friday,release-12.06-shipping-19-4440219,,Fracture,defense,1,4,13.67,201.68,1.01,4003.97,2,0,0,0,no,12.57,215.46,1.05,3544.56,2,1,1,3,no,,1.10,-13.77,-0.03,459.41,yes,,yes,Miks|Reyna|Raze,,49.67,4,,Chamber|Jett|Reyna|Omen|Gekko|Chamber|Cypher,no,3,,6,,13,8,5
461d8f2e-db9d-4a4f-af27-06d9d3e18437,2026-04-07,evening,Tuesday,release-12.06-shipping-19-4440219,,Pearl,attack,1,5,13.20,216.50,1.13,3671.54,2,1,0,1,no,12.00,201.40,0.91,3620.38,2,1,1,1,no,,1.20,15.10,0.22,51.15,no,,yes,Cypher|Fade|Miks|Neon|Reyna,,44.40,3,,Tejo|Phoenix|Omen|Jett|Chamber,yes,5,,2,,12,14,-2
d1b2fa73-2fd3-4145-a1e8-ae5dd8d4ce2b,2026-04-10,afternoon,Friday,release-12.06-shipping-19-4440219,,Haven,attack,1,-1,13.40,246.55,2.10,3720.00,2,1,0,1,no,13.60,151.18,0.51,2848.12,2,1,1,1,no,,-0.20,95.38,1.59,871.88,yes,,yes,Reyna|Neon|Sova|Miks|Cypher,,44.40,4,,Reyna|Tejo|Brimstone|Cypher|Jett,yes,5,,3,,13,3,10
15681837-7ada-4716-9e31-8a617be9bbe7,2026-04-10,evening,Friday,release-12.06-shipping-19-4440219,,Breeze,defense,2,1,13.60,203.24,1.04,3681.54,2,1,0,1,no,13.00,211.53,1.06,3791.92,1,1,2,1,no,,0.60,-8.29,-0.01,-110.38,yes,,yes,Reyna|Sova|Neon|Miks|Cypher,,44.40,3,,Chamber|Harbor|Sova|Raze|Clove,yes,5,,9,,14,12,2
c7e43203-159d-45cd-9401-f58fce4ec5e4,2026-04-16,afternoon,Thursday,release-12.07-shipping-9-4488404,,Split,attack,1,2,13.80,230.74,1.35,3773.00,1,1,1,1,yes,13.60,192.76,0.77,3212.00,1,1,1,2,yes,,0.20,37.98,0.58,561.00,yes,,yes,Reyna|Miks|Sage|Gekko|Viper,,44.40,3,,Sova|Cypher|Clove|Phoenix|Sage,yes,5,,3,,13,7,6
55cf6670-f5b2-430c-bfdb-214a78df6bba,2026-05-01,evening,Friday,release-12.08-shipping-7-4578383,,Split,attack,1,3,12.60,232.27,1.23,3600.95,1,1,1,1,yes,14.00,207.77,0.85,3399.52,2,1,1,1,yes,,-1.40,24.50,0.38,201.43,yes,,yes,Reyna|Viper|Miks|Gekko|Sage,,35.00,9,,Raze|Sage|Clove|Breach|Phoenix,yes,5,,7,,13,8,5
b820e114-76b4-4553-9026-0dd9cec5dced,2026-05-10,afternoon,Sunday,release-12.08-shipping-7-4578383,,Pearl,defense,1,4,12.00,222.09,1.01,3695.42,1,1,0,2,yes,12.00,218.07,1.02,3458.33,1,1,0,2,yes,,0.00,4.02,-0.00,237.08,yes,,yes,Reyna|Sage|Miks|Cypher|Fade,,35.00,8,,Reyna|Chamber|Miks|Breach|Sage,yes,5,,7,,13,11,2
8adc2f1d-2d16-4f35-9c68-6776fc6057fa,2026-05-10,evening,Sunday,release-12.08-shipping-7-4578383,,Haven,defense,2,5,12.00,193.85,0.71,2998.75,1,1,0,2,yes,9.20,236.94,1.51,3640.62,1,0,0,2,no,,2.80,-43.09,-0.79,-641.88,no,,yes,Sage|Sova|Reyna|Miks|Cypher,,35.00,8,,Deadlock|Reyna|Miks|KAY/O|Chamber,yes,5,,13,,3,13,-10
